index,n_rows,n_nodes,n_edges,density,avg_degree,file_size_mb
178,18049967,22917,79111,0.0001506399961496363,3.4520661517650653,1895.2160177230835
179,15156330,21326,69603,0.0001530486538510802,3.263762543374285,1580.0519323349
180,14964245,20442,64631,0.00015467330070124196,3.1616769396340865,1557.5634860992432
181,14974073,20171,64087,0.00015752033057369407,3.1771850676714095,1558.8130645751953
182,15035642,20296,64070,0.00015554469874436803,3.156779661016949,1562.6112413406372
183,15285241,20530,64570,0.00015320538915675511,3.1451534339990257,1590.0028734207153
184,15269635,20409,64810,0.00015560367512975872,3.175559802048116,1588.8419857025146
185,15270670,20489,65017,0.0001548840151539681,3.1732637024744985,1589.3677625656128
186,15213053,20669,65382,0.00015305244899696034,3.163288015869176,1592.3770418167114
187,15214666,20524,65148,0.00015466720469240185,3.1742350419021634,1583.2615823745728
188,15325431,20596,65147,0.00015358533238032959,3.163089920372888,1595.081446647644
189,15050664,20662,65270,0.00015289381517274558,3.158939115284096,1567.618821144104
190,15272182,21179,67469,0.00015042287289864526,3.1856556022475093,1591.4178581237793
191,15347851,20805,65870,0.00015218543787518725,3.1660658495553955,1599.7966499328613
192,15389336,20961,66307,0.00015092323402494855,3.163350985162922,1604.781909942627
193,15552823,21146,67813,0.00015166209132301976,3.206894921025253,1623.3087425231934
194,15722705,21526,69385,0.00014974733307413242,3.2233113444207007,1642.1413774490356
195,16711228,22208,73261,0.00014855028900848954,3.2988562680115274,1750.0604400634766
196,18603077,23365,79630,0.0001458692442236567,3.408089022041515,1958.183219909668
197,19962742,24334,85783,0.00014487454014792988,3.5252321854195774,2107.958917617798
198,18738242,24004,84161,0.0001460702403589875,3.506123979336777,1974.592532157898
199,15823526,22585,74355,0.00014577707030495493,3.292229355767102,1655.964204788208
200,15528407,21707,69579,0.00014767214314635776,3.205371539134841,1623.962215423584
201,15353941,21593,68949,0.0001478843154936091,3.1931181401380075,1601.2447862625122
202,15449561,21458,68468,0.0001487063109131341,3.1907913132631185,1607.3682880401611
203,15478961,21334,68347,0.00015017416727383857,3.2036655104527982,1611.3610429763794
204,15505705,21319,68414,0.0001505329927178372,3.2090623387588537,1613.6148567199707
205,15721574,21360,68623,0.0001504137490480642,3.212687265917603,1636.312635421753
206,15553778,21439,68322,0.0001486523503239432,3.1868090862446943,1620.4754495620728
207,15569985,21543,69026,0.0001487375091015155,3.204103421064847,1622.8724374771118
208,15600544,21421,68708,0.00014974354119283366,3.207506652350497,1626.8289012908936
209,15763868,21284,68005,0.00015012559776169654,3.1951230971621873,1645.5867586135864
210,15993120,21793,70197,0.00014781021307613829,3.221080163355206,1668.84401512146
211,15716909,21533,69259,0.00014937822862539014,3.2164120187619005,1639.6486415863037
212,15802746,21718,69793,0.00014797631444377188,3.2136016207753935,1648.955756187439
213,15867211,21949,70680,0.00014671916638802894,3.2201922638844596,1656.4215784072876
214,16137974,22358,72954,0.0001459495062881943,3.2629931120851596,1686.9330768585205
215,17058130,22851,75442,0.00014448467270655575,3.301474771344799,1787.3741426467896
216,19054683,23976,82548,0.00014360554506539908,3.442942942942943,2006.7292785644531
217,20406159,24687,87109,0.00014293677739735583,3.5285372868311256,2155.065450668335
218,19032452,24668,85392,0.0001403352949926062,3.4616507215826173,2004.427101135254
219,16166024,22796,75585,0.00014545791985225316,3.3157132830321108,1690.838171005249
220,15713592,21799,70219,0.0001477751540264351,3.2212028074682326,1640.291018486023
221,15718831,21618,69829,0.0001494255584567597,3.2301322971597743,1640.7835636138916
222,15908577,21874,69782,0.000145850140470895,3.1901801225198865,1657.0841903686523
223,15686593,21750,69821,0.00014760039172100924,3.21016091954023,1634.0882139205933
224,15764125,21638,69743,0.0001489657622156827,3.2231721970607263,1646.4751834869385
225,15995829,21719,69311,0.00014694083745215073,3.1912611077858095,1669.9404954910278
226,15992917,21628,69547,0.0001486845215682412,3.2156001479563527,1666.9876613616943
227,16142131,21488,69086,0.000149629859832129,3.215096798212956,1682.5074062347412
228,16031991,21611,69050,0.00014785433172829124,3.1951321086483735,1672.2918128967285
229,15836163,21460,68818,0.00014943862039606772,3.206803355079217,1652.2445268630981
230,15668786,21937,70413,0.00014632487961098865,3.2097825591466473,1651.0739641189575
231,15677681,21479,68956,0.00014947348660164937,3.210391545230225,1636.2516441345215
232,15698571,21491,69411,0.0001502917916075943,3.229770601647201,1638.5894412994385
233,15841046,21900,70625,0.0001472617856865089,3.2248858447488584,1661.446307182312
234,16267722,22252,72697,0.00014682428821636255,3.266987237102283,1700.6993255615234
235,17278711,22892,76222,0.000145456066004956,3.3296348069194477,1811.3319644927979
236,18929153,23635,81230,0.00014541982423983232,3.4368521260841973,1992.0026025772095
237,20302500,24332,85918,0.0001451263900220771,3.5310701956271577,2142.8877029418945
238,18684051,24219,84218,0.00014358545263214325,3.4773524918452456,1964.843635559082
239,15805244,22189,73093,0.00014846357012765994,3.2941096939925187,1651.3482160568237
240,15222772,20870,66684,0.00015310788409399792,3.1952084331576427,1586.2565279006958
241,15052003,20701,65736,0.00015340573759301692,3.1754987681754505,1575.225133895874
242,15344380,20359,64358,0.00015527837841446498,3.1611572277616777,1594.461513519287
243,15350816,20395,64796,0.00015578372066850824,3.177053199313557,1595.9079666137695
244,15265973,20350,64751,0.00015636480032764862,3.1818673218673217,1586.7112197875977
245,15555440,20374,64739,0.0001559677114578402,3.177530185530578,1617.9244232177734
246,15317500,20299,64366,0.0001562171207993944,3.170895117986108,1591.9887523651123
247,15325314,20137,63666,0.00015701443917271577,3.1616427471818045,1594.6481466293335
248,15465118,20337,64378,0.00015566287907143854,3.1655603087967745,1610.212724685669
249,15342971,20095,63939,0.00015834758025684358,3.181836277681015,1598.08975315094
250,15746256,20256,64679,0.00015764396909389488,3.1930785939968405,1641.811773300171
251,15474883,19999,63650,0.00015914887153498588,3.182659132956648,1611.6202640533447
252,15592280,20256,64247,0.00015659104318829084,3.171751579778831,1624.6686868667603
253,15660024,20713,66144,0.00015417906667847438,3.1933568290445615,1633.342176437378
254,16129733,21127,68471,0.00015340925571312078,3.2409239361953897,1684.475019454956
255,17039613,21454,71858,0.00015612728818937283,3.349398713526615,1782.4446659088135
256,18922147,22763,77917,0.00015038077039475966,3.4229670957255194,1990.1326532363892
257,20349391,23314,82235,0.00015130097997148885,3.5272797460753194,2147.3164405822754
258,18838840,23147,79929,0.00014918794063605237,3.4531040739620686,1981.3761596679688
259,15921384,21631,71032,0.00015181718212203496,3.2838056492996164,1662.91663646698
260,15338361,20931,66968,0.00015286502190678023,3.19946490850891,1599.6107892990112
261,15407053,20430,64997,0.00015573199127371816,3.181448849730788,1606.3619327545166
262,15501559,20343,65074,0.00015725296901913523,3.198839895787249,1619.479019165039
263,15667419,20514,65249,0.00015505805388841632,3.180705859413084,1633.4611158370972
